GET | 304 | / | 6.358 ms | ::1 | - | 2:06:56
GET | 304 | /static/js/main.8912ee67.js | 1.747 ms | ::1 | - | 2:06:56
GET | 304 | /static/css/main.5da68ca8.css | 0.893 ms | ::1 | - | 2:06:56
GET | 304 | /static/media/logo.797d41c84d2b50c923aa6f4dddd87340.svg | 3.033 ms | ::1 | - | 2:06:56
GET | 304 | /static/media/simpleShiny.c28a7e6148b72e87a981a66aa195fa0d.svg | 1.589 ms | ::1 | - | 2:06:56
GET | 304 | /static/media/server.fccdcc5589fc2007f74d2b74387929b2.svg | 2.680 ms | ::1 | - | 2:06:56
GET | 304 | /static/media/padlock.4f2477cec25d06b9789a5facd41b48c3.svg | 1.137 ms | ::1 | - | 2:06:56
GET | 304 | /manifest.json | 8.659 ms | ::1 | - | 2:06:56
GET | 304 | /static/media/roboto-v30-latin-regular.b009a76ad6afe4ebd301.woff2 | 90.562 ms | ::1 | - | 2:06:56
GET | 304 | /static/media/roboto-v30-latin-700.227c93190fe7f82de3f8.woff2 | 87.972 ms | ::1 | - | 2:06:56
GET | 304 | /logo192.png | 0.534 ms | ::1 | - | 2:06:56
GET | 304 | /api/store/info | 1052.998 ms | ::1 | - | 2:06:57
GET | 304 | /api/store/info | 679.640 ms | ::1 | - | 2:06:58
POST | 200 | /api/auth/store | 1013.288 ms | ::1 | - | 2:07:22
GET | 304 | /api/store/info | 689.280 ms | ::1 | - | 2:07:23
