OPTIONS | 204 | /api/auth/store | 4.194 ms | ::1 | - | 11:58:31
POST | 200 | /api/auth/store | 1342.211 ms | ::1 | - | 11:58:32
OPTIONS | 204 | /api/store/info | 1.147 ms | ::1 | - | 11:58:32
OPTIONS | 204 | /api/store/info | 0.889 ms | ::1 | - | 11:58:32
GET | 200 | /api/store/info | 649.671 ms | ::1 | - | 11:58:33
GET | 304 | /api/store/info | 645.259 ms | ::1 | - | 11:58:34
GET | 200 | / | 290.274 ms | ::1 | - | 13:16:00
GET | 200 | /static/css/main.5da68ca8.css | 37.200 ms | ::1 | - | 13:16:00
GET | 200 | /static/js/main.8912ee67.js | 48.239 ms | ::1 | - | 13:16:00
GET | 200 | /static/media/logo.797d41c84d2b50c923aa6f4dddd87340.svg | 54.899 ms | ::1 | - | 13:16:00
GET | 200 | /static/media/padlock.4f2477cec25d06b9789a5facd41b48c3.svg | 47.967 ms | ::1 | - | 13:16:00
GET | 200 | /static/media/server.fccdcc5589fc2007f74d2b74387929b2.svg | 60.099 ms | ::1 | - | 13:16:00
GET | 200 | /static/media/simpleShiny.c28a7e6148b72e87a981a66aa195fa0d.svg | 72.902 ms | ::1 | - | 13:16:00
GET | 200 | /static/media/roboto-v30-latin-700.227c93190fe7f82de3f8.woff2 | 15.625 ms | ::1 | - | 13:16:00
GET | 200 | /static/media/roboto-v30-latin-regular.b009a76ad6afe4ebd301.woff2 | 15.094 ms | ::1 | - | 13:16:00
GET | 200 | /manifest.json | 10.827 ms | ::1 | - | 13:16:00
GET | 200 | /logo192.png | 3.277 ms | ::1 | - | 13:16:00
GET | 200 | /api/store/info | 1025.768 ms | ::1 | - | 13:16:01
GET | 304 | /api/store/info | 646.050 ms | ::1 | - | 13:16:02
OPTIONS | 204 | /api/auth/store | 0.545 ms | ::1 | - | 13:16:25
POST | 403 | /api/auth/store | 899.176 ms | ::1 | - | 13:16:26
OPTIONS | 204 | /api/auth/store | 0.287 ms | ::1 | - | 13:16:33
POST | 200 | /api/auth/store | 728.859 ms | ::1 | - | 13:16:34
OPTIONS | 204 | /api/store/info | 0.497 ms | ::1 | - | 13:16:34
GET | 304 | /api/store/info | 638.834 ms | ::1 | - | 13:16:35
GET | 304 | /api/store/info | 645.627 ms | ::1 | - | 13:16:35
OPTIONS | 204 | /api/store/info | 0.172 ms | ::1 | - | 14:01:40
OPTIONS | 204 | /api/store/info | 0.298 ms | ::1 | - | 14:01:40
GET | 304 | /api/store/info | 889.431 ms | ::1 | - | 14:01:41
GET | 304 | /api/store/info | 652.497 ms | ::1 | - | 14:01:42
OPTIONS | 204 | /api/store/info | 0.616 ms | ::1 | - | 14:45:24
OPTIONS | 204 | /api/store/info | 0.195 ms | ::1 | - | 14:45:24
GET | 304 | /api/store/info | 897.098 ms | ::1 | - | 14:45:25
GET | 304 | /api/store/info | 640.881 ms | ::1 | - | 14:45:25
OPTIONS | 204 | /api/store/info | 3.913 ms | ::1 | - | 16:50:06
OPTIONS | 204 | /api/store/info | 0.369 ms | ::1 | - | 16:50:06
GET | 304 | /api/store/info | 1591.509 ms | ::1 | - | 16:50:08
GET | 304 | /api/store/info | 644.509 ms | ::1 | - | 16:50:08
GET | 304 | /api/store/info | 649.634 ms | ::1 | - | 16:50:09
OPTIONS | 204 | /api/store/info | 0.445 ms | ::1 | - | 16:52:07
OPTIONS | 204 | /api/store/info | 0.561 ms | ::1 | - | 16:52:07
GET | 304 | /api/store/info | 883.970 ms | ::1 | - | 16:52:08
GET | 304 | /api/store/info | 636.718 ms | ::1 | - | 16:52:09
GET | 304 | / | 13.708 ms | ::1 | - | 20:09:36
GET | 304 | /static/css/main.5da68ca8.css | 4.395 ms | ::1 | - | 20:09:36
GET | 304 | /static/js/main.8912ee67.js | 3.506 ms | ::1 | - | 20:09:36
GET | 304 | /static/media/logo.797d41c84d2b50c923aa6f4dddd87340.svg | 8.011 ms | ::1 | - | 20:09:37
GET | 304 | /static/media/simpleShiny.c28a7e6148b72e87a981a66aa195fa0d.svg | 2.994 ms | ::1 | - | 20:09:37
GET | 304 | /static/media/server.fccdcc5589fc2007f74d2b74387929b2.svg | 8.537 ms | ::1 | - | 20:09:37
GET | 304 | /static/media/padlock.4f2477cec25d06b9789a5facd41b48c3.svg | 2.507 ms | ::1 | - | 20:09:37
GET | 304 | /manifest.json | 7.645 ms | ::1 | - | 20:09:37
GET | 304 | /static/media/roboto-v30-latin-regular.b009a76ad6afe4ebd301.woff2 | 8.166 ms | ::1 | - | 20:09:37
GET | 304 | /static/media/roboto-v30-latin-700.227c93190fe7f82de3f8.woff2 | 6.947 ms | ::1 | - | 20:09:37
GET | 304 | /logo192.png | 1.045 ms | ::1 | - | 20:09:38
GET | 304 | /api/store/info | 1978.558 ms | ::1 | - | 20:09:39
GET | 304 | /api/store/info | 658.213 ms | ::1 | - | 20:09:40
OPTIONS | 204 | /api/store/info | 0.367 ms | ::1 | - | 20:09:45
OPTIONS | 204 | /api/store/info | 0.525 ms | ::1 | - | 20:09:45
GET | 304 | /api/store/info | 993.305 ms | ::1 | - | 20:09:46
GET | 304 | /api/store/info | 637.935 ms | ::1 | - | 20:09:46
GET | 304 | /api/store/info | 652.087 ms | ::1 | - | 20:09:47
