OPTIONS | 204 | /api/store/info | 4.158 ms | ::1 | - | 12:18:04
OPTIONS | 204 | /api/store/info | 8.913 ms | ::1 | - | 12:18:05
GET | 304 | /api/store/info | 1548.928 ms | ::1 | - | 12:18:06
GET | 304 | /api/store/info | 638.580 ms | ::1 | - | 12:18:07
GET | 304 | /api/store/info | 644.770 ms | ::1 | - | 12:18:07
GET | 200 | /test | 11.839 ms | ::1 | - | 13:42:05
GET | 500 | /test | 7.438 ms | ::1 | - | 13:52:33
GET | 200 | /test | 10.484 ms | ::1 | - | 13:54:37
GET | 200 | /favicon.ico | 31.119 ms | ::1 | - | 13:54:37
GET | 500 | /test | 12.137 ms | ::1 | - | 13:56:07
GET | 200 | /test | 10.783 ms | ::1 | - | 13:57:05
GET | 304 | /favicon.ico | 1.921 ms | ::1 | - | 13:57:05
GET | - | /test | - ms | ::1 | - | 14:41:30
GET | - | /test | - ms | ::1 | - | 15:00:41
GET | 304 | / | 10.780 ms | ::1 | - | 15:27:35
GET | 304 | /static/js/main.8912ee67.js | 3.906 ms | ::1 | - | 15:27:35
GET | 304 | /static/css/main.5da68ca8.css | 1.821 ms | ::1 | - | 15:27:35
GET | 304 | /static/media/logo.797d41c84d2b50c923aa6f4dddd87340.svg | 6.858 ms | ::1 | - | 15:27:36
GET | 304 | /static/media/simpleShiny.c28a7e6148b72e87a981a66aa195fa0d.svg | 3.008 ms | ::1 | - | 15:27:36
GET | 304 | /static/media/server.fccdcc5589fc2007f74d2b74387929b2.svg | 7.047 ms | ::1 | - | 15:27:36
GET | 304 | /static/media/padlock.4f2477cec25d06b9789a5facd41b48c3.svg | 3.310 ms | ::1 | - | 15:27:36
GET | 304 | /manifest.json | 12.225 ms | ::1 | - | 15:27:36
GET | 304 | /static/media/roboto-v30-latin-700.227c93190fe7f82de3f8.woff2 | 11.384 ms | ::1 | - | 15:27:36
GET | 304 | /static/media/roboto-v30-latin-regular.b009a76ad6afe4ebd301.woff2 | 10.168 ms | ::1 | - | 15:27:36
GET | 304 | /favicon.ico | 239.812 ms | ::1 | - | 15:27:36
GET | 304 | /logo192.png | 3.728 ms | ::1 | - | 15:27:36
GET | 304 | /favicon.ico | 2.225 ms | ::1 | - | 15:27:36
GET | 500 | /api/store/info | 1144.141 ms | ::1 | - | 15:27:37
GET | 304 | /static/css/main.5da68ca8.css | 7.164 ms | ::1 | - | 15:27:38
GET | 304 | /manifest.json | 2.573 ms | ::1 | - | 15:27:38
POST | 500 | /api/auth/store | 1214.726 ms | ::1 | - | 15:34:36
POST | 500 | /api/auth/store | 1031.833 ms | ::1 | - | 15:35:58
GET | 304 | / | 10.845 ms | ::1 | - | 15:44:55
GET | 304 | /static/js/main.8912ee67.js | 9.508 ms | ::1 | - | 15:44:55
GET | 304 | /static/css/main.5da68ca8.css | 5.613 ms | ::1 | - | 15:44:55
GET | 304 | /static/media/logo.797d41c84d2b50c923aa6f4dddd87340.svg | 10.570 ms | ::1 | - | 15:44:56
