OPTIONS | 204 | /api/warehouse/info | 1.755 ms | ::1 | - | 0:05:46
OPTIONS | 204 | /api/warehouse/info | 0.506 ms | ::1 | - | 0:05:46
GET | 304 | /api/warehouse/info | 1205.554 ms | ::1 | - | 0:05:47
GET | 304 | /api/warehouse/info | 730.365 ms | ::1 | - | 0:05:48
GET | 304 | /api/warehouse/info | 716.309 ms | ::1 | - | 0:05:51
GET | 304 | /api/warehouse/info | 712.367 ms | ::1 | - | 0:05:51
OPTIONS | 204 | /api/warehouse/info | 0.467 ms | ::1 | - | 0:06:03
GET | 304 | /api/warehouse/info | 876.185 ms | ::1 | - | 0:06:04
GET | 304 | /api/warehouse/info | 721.272 ms | ::1 | - | 0:06:05
OPTIONS | 204 | /api/warehouse/info | 0.556 ms | ::1 | - | 0:10:18
GET | 304 | /api/warehouse/info | 1089.738 ms | ::1 | - | 0:10:19
GET | 304 | /api/warehouse/info | 719.210 ms | ::1 | - | 0:10:23
GET | 304 | /api/warehouse/info | 724.192 ms | ::1 | - | 0:10:24
OPTIONS | 204 | /api/warehouse/info | 0.885 ms | ::1 | - | 0:11:03
GET | 304 | /api/warehouse/info | 878.154 ms | ::1 | - | 0:11:04
GET | 304 | /api/warehouse/info | 729.539 ms | ::1 | - | 0:11:07
OPTIONS | 204 | /api/warehouse/info | 0.771 ms | ::1 | - | 0:14:56
GET | 304 | /api/warehouse/info | 931.159 ms | ::1 | - | 0:14:57
GET | 304 | /api/warehouse/info | 718.808 ms | ::1 | - | 0:14:58
OPTIONS | 204 | /api/warehouse/info | 0.359 ms | ::1 | - | 0:15:11
GET | 304 | /api/warehouse/info | 926.351 ms | ::1 | - | 0:15:12
GET | 304 | /api/warehouse/info | 737.505 ms | ::1 | - | 0:15:14
OPTIONS | 204 | /api/warehouse/info | 0.338 ms | ::1 | - | 0:15:18
GET | 304 | /api/warehouse/info | 866.056 ms | ::1 | - | 0:15:19
GET | 304 | /api/warehouse/info | 714.528 ms | ::1 | - | 0:15:21
OPTIONS | 204 | /api/warehouse/info | 0.230 ms | ::1 | - | 0:15:28
GET | 304 | /api/warehouse/info | 863.449 ms | ::1 | - | 0:15:29
GET | 304 | /api/warehouse/info | 713.265 ms | ::1 | - | 0:15:29
GET | 304 | /api/warehouse/info | 716.467 ms | ::1 | - | 0:15:30
GET | 304 | /api/warehouse/info | 723.088 ms | ::1 | - | 0:15:31
GET | 304 | /api/warehouse/info | 739.303 ms | ::1 | - | 0:15:33
OPTIONS | 204 | /api/warehouse/info | 0.364 ms | ::1 | - | 0:15:33
GET | 304 | /api/warehouse/info | 1051.726 ms | ::1 | - | 0:15:35
GET | 304 | /api/warehouse/info | 720.725 ms | ::1 | - | 0:15:35
GET | 304 | /api/warehouse/info | 724.726 ms | ::1 | - | 0:15:36
GET | 304 | /api/warehouse/info | 735.128 ms | ::1 | - | 0:15:37
GET | 304 | /api/warehouse/info | 725.000 ms | ::1 | - | 0:15:38
GET | 304 | /api/warehouse/info | 729.873 ms | ::1 | - | 0:15:38
OPTIONS | 204 | /api/warehouse/info | 0.552 ms | ::1 | - | 0:16:49
OPTIONS | 204 | /api/warehouse/info | 0.421 ms | ::1 | - | 0:16:49
GET | 304 | /api/warehouse/info | 887.832 ms | ::1 | - | 0:16:50
GET | 304 | /api/warehouse/info | 716.147 ms | ::1 | - | 0:16:51
GET | 304 | /api/warehouse/info | 710.625 ms | ::1 | - | 0:16:53
OPTIONS | 204 | /api/warehouse/info | 0.475 ms | ::1 | - | 0:16:56
GET | 304 | /api/warehouse/info | 860.023 ms | ::1 | - | 0:16:57
GET | 304 | /api/warehouse/info | 723.764 ms | ::1 | - | 0:16:58
GET | 304 | /api/warehouse/info | 723.382 ms | ::1 | - | 0:16:59
GET | 304 | /api/warehouse/info | 714.860 ms | ::1 | - | 0:16:59
GET | 304 | /api/warehouse/info | 714.641 ms | ::1 | - | 0:17:00
GET | 304 | /api/warehouse/info | 721.851 ms | ::1 | - | 0:17:01
GET | 304 | /api/warehouse/info | 721.963 ms | ::1 | - | 0:17:01
OPTIONS | 204 | /api/warehouse/info | 0.433 ms | ::1 | - | 0:19:13
OPTIONS | 204 | /api/warehouse/info | 0.391 ms | ::1 | - | 0:19:13
GET | 304 | /api/warehouse/info | 873.695 ms | ::1 | - | 0:19:14
GET | 304 | /api/warehouse/info | 717.283 ms | ::1 | - | 0:19:15
OPTIONS | 204 | /api/warehouse/info | 1.960 ms | ::1 | - | 0:21:01
OPTIONS | 204 | /api/warehouse/info | 0.334 ms | ::1 | - | 0:21:01
GET | 304 | /api/warehouse/info | 1158.484 ms | ::1 | - | 0:21:02
GET | 304 | /api/warehouse/info | 731.310 ms | ::1 | - | 0:21:02
OPTIONS | 204 | /api/warehouse/info | 3.409 ms | ::1 | - | 0:21:44
OPTIONS | 204 | /api/warehouse/info | 0.278 ms | ::1 | - | 0:21:44
GET | 304 | /api/warehouse/info | 1108.748 ms | ::1 | - | 0:21:45
GET | 304 | /api/warehouse/info | 734.972 ms | ::1 | - | 0:21:46
OPTIONS | 204 | /api/warehouse/info | 0.741 ms | ::1 | - | 0:23:12
GET | 304 | /api/warehouse/info | 948.538 ms | ::1 | - | 0:23:13
GET | 304 | /api/warehouse/info | 731.471 ms | ::1 | - | 0:23:13
GET | 304 | /api/warehouse/info | 727.380 ms | ::1 | - | 0:23:17
