OPTIONS | 204 | /api/auth/admin | 1.571 ms | ::1 | - | 01:20:01
POST | 403 | /api/auth/admin | 1422.641 ms | ::1 | - | 01:20:02
OPTIONS | 204 | /api/auth/admin | 0.557 ms | ::1 | - | 01:20:17
POST | 200 | /api/auth/admin | 891.118 ms | ::1 | - | 01:20:18
OPTIONS | 204 | /api/warehouse/info | 0.543 ms | ::1 | - | 01:20:18
OPTIONS | 204 | /api/warehouse/info | 0.360 ms | ::1 | - | 01:20:18
GET | 200 | /api/warehouse/info | 726.935 ms | ::1 | - | 01:20:19
GET | 304 | /api/warehouse/info | 713.874 ms | ::1 | - | 01:20:19
POST | 200 | /api/inventory/request/send | 3253.926 ms | ::ffff:127.0.0.1 | - | 01:21:32
OPTIONS | 204 | /api/warehouse/info | 0.558 ms | ::1 | - | 01:29:01
OPTIONS | 204 | /api/warehouse/info | 0.539 ms | ::1 | - | 01:29:01
GET | 304 | /api/warehouse/info | 1042.554 ms | ::1 | - | 01:29:02
GET | 304 | /api/warehouse/info | 711.664 ms | ::1 | - | 01:29:03
OPTIONS | 204 | /api/warehouse/info | 0.342 ms | ::1 | - | 01:29:33
GET | 304 | /api/warehouse/info | 943.370 ms | ::1 | - | 01:29:34
GET | 304 | /api/warehouse/info | 717.101 ms | ::1 | - | 01:29:35
OPTIONS | 204 | /api/warehouse/info | 0.260 ms | ::1 | - | 01:31:20
GET | 304 | /api/warehouse/info | 895.282 ms | ::1 | - | 01:31:21
GET | 304 | /api/warehouse/info | 721.519 ms | ::1 | - | 01:31:21
OPTIONS | 204 | /api/warehouse/request/update | 0.245 ms | ::1 | - | 01:32:05
POST | 200 | /api/warehouse/request/update | 7666.796 ms | ::1 | - | 01:32:13
OPTIONS | 204 | /api/warehouse/info | 0.217 ms | ::1 | - | 01:37:24
GET | 304 | /api/warehouse/info | 982.586 ms | ::1 | - | 01:37:25
GET | 304 | /api/warehouse/info | 712.916 ms | ::1 | - | 01:37:25
OPTIONS | 204 | /api/warehouse/info | 0.182 ms | ::1 | - | 01:41:18
GET | 304 | /api/warehouse/info | 1075.291 ms | ::1 | - | 01:41:19
GET | 304 | /api/warehouse/info | 719.987 ms | ::1 | - | 01:41:20
OPTIONS | 204 | /api/warehouse/request/update | 0.258 ms | ::1 | - | 01:47:45
POST | 200 | /api/warehouse/request/update | 2312.253 ms | ::ffff:127.0.0.1 | - | 01:47:51
OPTIONS | 204 | /api/warehouse/request/update | 0.974 ms | ::1 | - | 02:23:20
POST | 200 | /api/warehouse/request/update | 2456.333 ms | ::1 | - | 02:23:22
OPTIONS | 204 | /api/warehouse/request/update | 1.232 ms | ::ffff:127.0.0.1 | - | 02:24:12
POST | 200 | /api/warehouse/request/update | 2330.306 ms | ::ffff:127.0.0.1 | - | 02:24:14
OPTIONS | 204 | /api/warehouse/request/update | 0.949 ms | ::1 | - | 02:25:09
POST | 200 | /api/warehouse/request/update | 2368.525 ms | ::1 | - | 02:25:12
OPTIONS | 204 | /api/warehouse/request/update | 0.926 ms | ::1 | - | 02:26:19
POST | 200 | /api/warehouse/request/update | 2228.740 ms | ::1 | - | 02:26:21
OPTIONS | 204 | /api/warehouse/request/update | 0.205 ms | ::1 | - | 02:29:11
POST | 200 | /api/warehouse/request/update | 2252.666 ms | ::1 | - | 02:29:16
OPTIONS | 204 | /api/warehouse/request/update | 0.884 ms | ::1 | - | 02:30:06
POST | 200 | /api/warehouse/request/update | 2375.421 ms | ::1 | - | 02:30:09
OPTIONS | 204 | /api/warehouse/request/update | 0.875 ms | ::1 | - | 02:30:30
POST | 200 | /api/warehouse/request/update | 2287.052 ms | ::1 | - | 02:30:32
OPTIONS | 204 | /api/warehouse/request/update | 0.949 ms | ::1 | - | 02:31:25
POST | 200 | /api/warehouse/request/update | 2396.698 ms | ::1 | - | 02:31:28
OPTIONS | 204 | /api/warehouse/request/update | 0.933 ms | ::1 | - | 02:32:03
POST | 200 | /api/warehouse/request/update | 3756.376 ms | ::1 | - | 02:32:07
OPTIONS | 204 | /api/warehouse/request/update | 1.121 ms | ::1 | - | 02:33:46
POST | 200 | /api/warehouse/request/update | 2287.223 ms | ::1 | - | 02:33:48
OPTIONS | 204 | /api/warehouse/request/update | 0.194 ms | ::1 | - | 02:34:10
POST | 200 | /api/warehouse/request/update | 3249.615 ms | ::1 | - | 02:34:13
OPTIONS | 204 | /api/warehouse/request/update | 0.160 ms | ::1 | - | 02:34:46
POST | 200 | /api/warehouse/request/update | 2604.950 ms | ::1 | - | 02:34:49
OPTIONS | 204 | /api/warehouse/request/update | 0.515 ms | ::1 | - | 02:35:15
POST | 200 | /api/warehouse/request/update | 2358.847 ms | ::1 | - | 02:35:18
